Final Data Overview,,,,,,,,,
Video #,Time (seconds),Converted Time, Observation,Comments,,,,,
0,73,0.000844907,1 T 4,,,Coding Info,,,
0,123,0.001423611,3 T 2,,,,,,
0,125,0.001446759,4 T 1,,,Group,12,"Video Range (First, Last)",
0,128,0.001481481,3 T 4,,,Day,1,0,63
0,133,0.001539352,2 T 4,,,Contest #,,Contest Date,
0,136,0.001574074,2 T 1,,,,,,
0,141,0.001631944,panic,,,Fish Info,,,
0,151,0.001747685,4 T 1,,,,,,
0,183,0.002118056,4 T 1,,,Fish Number,Original Tank,Weight (g),Description (tail cut)
0,196,0.002268519,2 T 4,,,1,5_14,21.96,bottom cut
0,207,0.002395833,4 T 3,,,2,2_17,22.84,top cut
0,227,0.002627315,4 C 3,,,3,3_7,22.76,bottom V cut
0,232,0.002685185,4 T 1,,,4,6_15,22.84,top V cut
0,233,0.002696759,4 C 1,,,,,,
0,239,0.002766204,3 T 1,,,,,,
0,248,0.00287037,4 T 3,,,,,,
0,249,0.002881944,4 T 3,,,,,,
0,253,0.002928241,3 T 4,,,,,,
0,256,0.002962963,4 T 3,,,,,,
0,257,0.002974537,4 C 1,,,,,,
0,259,0.002997685,4 T 3,,,,,,
0,264,0.003055556,4 T 3,,,,,,
0,277,0.003206019,4 L 2,,,,,,
0,315,0.003645833,1 T 3,,,,,,
0,324,0.00375,4 T 3,,,,,,
0,375,0.004340278,3 T 4,,,,,,
0,395,0.004571759,3 T 4,,,,,,
0,403,0.004664352,4 T 3,,,,,,
0,421,0.004872685,2 T 1,,,,,,
0,430,0.004976852,3 T 4,,,,,,
0,437,0.00505787,panic,,,,,,
0,440,0.005092593,panic,,,,,,
0,698,0.008078704,end experiment,,,,,,
1,1385,0.016030093,end experiment,,,,,,
2,1870,0.021643519,2 L 4,,,,,,
2,1872,0.021666667,2 T 4,,,,,,
2,1928,0.022314815,panic,,,,,,
2,1989,0.023020833,panic,,,,,,
2,2072,0.023981481,end experiment,,,,,,
3,2229,0.025798611,panic,,,,,,
3,2234,0.025856481,panic,,,,,,
3,2235,0.025868056,panic,,,,,,
3,2759,0.03193287,end experiment,,,,,,
4,2783,0.032210648,3 T 2,,,,,,
4,3026,0.035023148,panic,,,,,,
4,3090,0.035763889,1 T 4,,,,,,
4,3092,0.035787037,1 T 4,,,,,,
4,3177,0.036770833,panic,,,,,,
4,3269,0.037835648,1 T 4,,,,,,
4,3270,0.037847222,panic,,,,,,
4,3446,0.039884259,end experiment,,,,,,
5,3843,0.044479167,panic,,,,,,
5,4096,0.047407407,1 T 4,,,,,,
5,4133,0.047835648,end experiment,,,,,,
6,4345,0.050289352,2 T 4,,,,,,
6,4474,0.051782407,2 T 4,,,,,,
6,4639,0.05369213,2 T 3,,,,,,
6,4643,0.053738426,3 T 2,,,,,,
6,4645,0.053761574,2 L 3,,,,,,
6,4651,0.053831019,2 L 3,,,,,,
6,4651,0.053831019,2 L 3,,,,,,
6,4651,0.053831019,2 B 3,,,,,,
6,4653,0.053854167,2 L 3,,,,,,
6,4660,0.053935185,2 L 3,,,,,,
6,4820,0.055787037,end experiment,,,,,,
7,5383,0.062303241,2 L 3,,,,,,
7,5386,0.062337963,2 L 3,,,,,,
7,5394,0.062430556,3 T 1,,,,,,
7,5459,0.06318287,1 T 4,,,,,,
7,5460,0.063194444,1 T 4,,,,,,
7,5507,0.063738426,end experiment,,,,,,
8,5624,0.065092593,1 T 4,,,,,,
8,5626,0.065115741,1 T 4,,,,,,
8,5628,0.065138889,1 T 4,,,,,,
8,5629,0.065150463,1 T 4,,,,,,
8,5899,0.068275463,4 T 1,Here we have 2 fish coming directly towards each other. It is difficult to say which one was threating (if its even coded as a threat that is),,,,,
8,5900,0.068287037,panic,,,,,,
8,6152,0.071203704,2 T 4,,,,,,
8,6194,0.071689815,end experiment,,,,,,
9,6299,0.072905093,2 T 4,,,,,,
9,6301,0.072928241,panic,,,,,,
9,6306,0.072986111,3 L 2,,,,,,
9,6312,0.073055556,3 L 2,,,,,,
9,6323,0.07318287,3 L 2,,,,,,
9,6770,0.078356481,1 T 4,,,,,,
9,6881,0.079641204,end experiment,,,,,,
10,6942,0.080347222,1 T 4,,,,,,
10,6944,0.08037037,1 T 4,,,,,,
10,7164,0.082916667,1 T 4,,,,,,
10,7324,0.084768519,1 C 4,,,,,,
10,7325,0.084780093,1 C 4,,,,,,
10,7326,0.084791667,1 T 4,,,,,,
10,7336,0.084907407,4 T 1,borderline ,,,,,
10,7568,0.087592593,end experiment,,,,,,
11,7628,0.088287037,1 T 4,,,,,,
11,7976,0.092314815,1 T 4,"4 moved half a body length by a hair. In the following ""threat"" 3 didn't move half a body.",,,,,
11,7980,0.092361111,1 T 4,,,,,,
11,8046,0.093125,1 T 4,,,,,,
11,8047,0.093136574,1 T 4,,,,,,
11,8120,0.093981481,1 C 4,,,,,,
11,8122,0.09400463,1 T 4,,,,,,
11,8179,0.094664352,1 T 2,,,,,,
11,8181,0.0946875,panic,,,,,,
11,8185,0.094733796,4 T 2,,,,,,
11,8204,0.094953704,4 T 2,Borderline threat,,,,,
11,8255,0.095543981,end experiment,,,,,,
12,8407,0.097303241,1 T 4,,,,,,
12,8445,0.097743056,1 T 4,,,,,,
12,8509,0.098483796,1 T 4,,,,,,
12,8745,0.101215278,2 L 3,possible a bite here but not perfectly clear,,,,,
12,8751,0.101284722,2 L 3,,,,,,
12,8755,0.101331019,2 L 3,,,,,,
12,8762,0.101412037,2 T 1,,,,,,
12,8762,0.101412037,2 C 1,,,,,,
12,8763,0.101423611,2 T 4,,,,,,
12,8942,0.10349537,end experiment,,,,,,
13,9095,0.105266204,2 L 3,,,,,,
13,9117,0.105520833,2 L 3,,,,,,
13,9119,0.105543981,2 L 3,Weak uncodable behavior at 192,,,,,
13,9140,0.105787037,2 T 4,Weak,,,,,
13,9175,0.10619213,2 T 4,,,,,,
13,9218,0.106689815,1 T 4,,,,,,
13,9397,0.108761574,1 T 4,,,,,,
13,9629,0.111446759,end experiment,,,,,,
14,9668,0.111898148,1 T 4,,,,,,
14,9669,0.111909722,4 T 1,,,,,,
14,9672,0.111944444,1 T 4,,,,,,
14,9835,0.113831019,1 T 4,,,,,,
14,10040,0.116203704,2 T 4,,,,,,
14,10041,0.116215278,2 C 4,,,,,,
14,10044,0.11625,2 C 4,,,,,,
14,10315,0.119386574,end experiment,,,,,,
15,10512,0.121666667,1 T 4,,,,,,
15,10528,0.121851852,1 L 4,,,,,,
15,10532,0.121898148,4 T 1,,,,,,
15,10534,0.121921296,4 T 1,,,,,,
15,10541,0.122002315,2 T 4,,,,,,
15,10558,0.122199074,panic,,,,,,
15,10773,0.1246875,4 T 1,,,,,,
15,10777,0.124733796,1 C 4,,,,,,
15,10821,0.125243056,4 T 1,,,,,,
15,10823,0.125266204,1 C 4,,,,,,
15,10825,0.125289352,4 C 1,,,,,,
15,10932,0.126527778,4 T 1,,,,,,
15,10936,0.126574074,4 C 1,,,,,,
15,10939,0.126608796,4 C 1,,,,,,
15,11001,0.127326389,end experiment,,,,,,
16,11144,0.128981481,4 T 1,,,,,,
16,11144,0.128981481,4 C 1,,,,,,
16,11146,0.12900463,4 C 1,,,,,,
16,11150,0.129050926,4 C 1,,,,,,
16,11162,0.129189815,4 C 1,,,,,,
16,11166,0.129236111,3 T 1,,,,,,
16,11272,0.130462963,4 C 1,,,,,,
16,11273,0.130474537,4 T 1,,,,,,
16,11326,0.131087963,4 T 1,,,,,,
16,11326,0.131087963,4 C 1,,,,,,
16,11330,0.131134259,4 T 1,,,,,,
16,11331,0.131145833,3 T 1,,,,,,
16,11336,0.131203704,4 T 1,,,,,,
16,11379,0.131701389,4 C 1,,,,,,
16,11380,0.131712963,4 C 1,,,,,,
16,11383,0.131747685,4 T 1,,,,,,
16,11383,0.131747685,4 C 1,,,,,,
16,11386,0.131782407,4 C 1,,,,,,
16,11441,0.132418981,4 T 1,,,,,,
16,11445,0.132465278,4 T 1,,,,,,
16,11446,0.132476852,4 T 1,,,,,,
16,11447,0.132488426,4 T 1,,,,,,
16,11450,0.132523148,4 C 1,,,,,,
16,11547,0.133645833,4 T 1,,,,,,
16,11553,0.133715278,4 C 1,,,,,,
16,11556,0.13375,4 C 1,,,,,,
16,11560,0.133796296,4 C 2,,,,,,
16,11603,0.134293981,3 T 2,,,,,,
